"Conioselinum_tataricum_Hoffm._(=Selinum_papyraceum_C.B.Clarke,_Conioselinum_papyraceum_(C.B.Clarke)_Pimenov_&_Kljuykov)",Conioselinum_vaginatum,,,,,,,,,,
Corydalis_flabellata_Edgew.,Corydalis_flabellata,,,,,,,,,,
Cotoneaster_affinis_Lindl.,Cotoneaster_affinis,,,,,,,,,,
Cousinia_thomsonii_C.B.Clarke,Cousinia_thomsonii,,,,,,,,,,
"Cremanthodium_ellisii_(Hook._f.)_Kitam._(=Cremanthodium_plantagineum_Maxim._var._maximowiczii_(Franch.)_Aswal,_Cremanthodium_plantagineum_Maxim.)",Cremanthodium_ellisii,,,,,,,,,,
"Crucihimalaya_mollissima_(C.A.Mey.)_Al-_Shehbaz,_Oâ€™Kane_&_R.A.Price_(=Arabidopsis_mollissima_(C.A.Mey.)_N.Busch.)",Crucihimalaya_mollissima,,,,,,,,,,
Cuscuta_europaea_L._var._indica_Engelm,Cuscuta_europaea,,,,,,,,,,
Dactylorhiza_hatagirea_(D._Don.)_Soo.,Dactylorhiza_hatagirea,,,,,,,,,,
Dasiphora_dryadanthoides_Juz.,Dasiphora_dryadanthoides,,,,,,,,,,
Delphinium_brunonianum_Royle,Delphinium_brunonianum,,,,,,,,,,
Delphinium_cashmerianum_Royle,Delphinium_cashmerianum,,,,,,,,,,
Dianthus_anatolicus_Boiss.,Dianthus_anatolicus,,,,,,,,,,
Dontostemon_glandulosus_(Kar._&_Kir.)_O.E.Schulz_(=Arabis_glandulosa_Kar._&_Kir.),Dontostemon_glandulosus,,,,,,,,,,
Draba_cachemirica_Gand.,Draba_cachemirica,,,,,,,,,,
Draba_setosa_Royle_(=Draba_pyriformis_Pojle),Draba_setosa,,,,,,,,,,
Draba_stenocarpa_Hook.f._&_Thomson,Draba_stenocarpa,,,,,,,,,,
Elymus_canaliculatus_(Nevski)_Tzvelev,Elymus_canaliculatus_(g),,,,,,,,,,
Elymus_dahuricus_Griseb.,Elymus_dahuricus_(g),,,,,,,,,,
Elymus_jacquemontii_(Hook.f.)_Cope_(=Agropyron_jacquemontii_Hook._f.),Elymus_jacquemontii_(g),,,,,,,,,,
Elymus_nutans_Griseb.,Elymus_nutans_(g),,,,,,,,,,
Elymus_repens_(L.)_Gould_(=Agropyron_repens_P.Beauv.),Elymus_repens_(g),,,,,,,,,,
Elymus_schugnanicus_(Nevski)_Tzvelev,Elymus_schugnanicus_(g),,,,,,,,,,
Ephedra_gerardiana_Wall._ex_Stapf,Ephedra_gerardiana,,,,,,,,,,
Ephedra_intermedia_Schrenk_&_C.A.Mey.,Ephedra_intermedia,,,,,,,,,,
Epilobium_latifolium_L.,Epilobium_latifolium,,,,,,,,,,
Epilobium_angustifolium_L.,Epilobium_angustifolium,,,,,,,,,,
Equisetum_diffusum_D.Don,Equisetum_diffusum,,,,,,,,,,
Equisetum_ramosissimum_Desf.,Equisetum_ramosissimum,,,,,,,,,,
