MySpecies,Name_of_taxa,Family,Plant_group,"Plant_sub-group",Habit,"IUCN_Status",Lifespan
Cirsium_arvense,Cirsium_arvense_(L.)_Scop._(=Breea_arvensis_(L.)_Less.),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Codonopsis_clematidea,Codonopsis_clematidea_(Schrenk)_C.B.Clarke,Campanulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Corydalis_flabellata,Corydalis_flabellata_Edgew.,Papaveraceae,Angiosperm,Dicot,Herb,NE,Perennial
Cotoneaster_affinis,Cotoneaster_affinis_Lindl.,Rosaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Cousinia_thomsonii,Cousinia_thomsonii_C.B.Clarke,Asteraceae,Angiosperm,Dicot,Herb,NE,Biennial
Cremanthodium_ellisii,"Cremanthodium_ellisii_(Hook._f.)_Kitam._(=Cremanthodium_plantagineum_Maxim._var._maximowiczii_(Franch.)_Aswal,_Cremanthodium_plantagineum_Maxim.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Crucihimalaya_mollissima,"Crucihimalaya_mollissima_(C.A.Mey.)_Al-_Shehbaz,_Oâ€™Kane_&_R.A.Price_(=Arabidopsis_mollissima_(C.A.Mey.)_N.Busch.)",Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Cuscuta_europaea,Cuscuta_europaea_L._var._indica_Engelm,Convolvulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Dactylorhiza_hatagirea,Dactylorhiza_hatagirea_(D._Don.)_Soo.,Orchidaceae,Angiosperm,Monocot,Herb,EN,Perennial
Dasiphora_dryadanthoides,Dasiphora_dryadanthoides_Juz.,Rosaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Delphinium_brunonianum,Delphinium_brunonianum_Royle,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Delphinium_cashmerianum,Delphinium_cashmerianum_Royle,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Dianthus_anatolicus,Dianthus_anatolicus_Boiss.,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Annual
Dontostemon_glandulosus,Dontostemon_glandulosus_(Kar._&_Kir.)_O.E.Schulz_(=Arabis_glandulosa_Kar._&_Kir.),Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual
Draba_cachemirica,Draba_cachemirica_Gand.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Draba_setosa,Draba_setosa_Royle_(=Draba_pyriformis_Pojle),Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Draba_stenocarpa,Draba_stenocarpa_Hook.f._&_Thomson,Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual
Ephedra_gerardiana,Ephedra_gerardiana_Wall._ex_Stapf,Ephedraceae,Gymnosperm,,Shrub,vU,Perennial
Ephedra_intermedia,Ephedra_intermedia_Schrenk_&_C.A.Mey.,Ephedraceae,Gymnosperm,,Shrub,LC,Perennial
Epilobium_latifolium,Epilobium_latifolium_L.,Onagraceae,Angiosperm,Dicot,Herb,LC,Perennial
Epilobium_latifolium,Epilobium_speciosum_Decne._(=Epilobium_latifolium_L._subsp._speciosum_(Decne.)_P.H.Raven),Onagraceae,Angiosperm,Dicot,Herb,NE,Perennial
Epilobium_angustifolium,Epilobium_angustifolium_L.,Onagraceae,Angiosperm,Dicot,Herb,LC,Perennial
Equisetum_diffusum,Equisetum_diffusum_D.Don,Equisetaceae,Pteridophyte,Fern,Herb,NE,Perennial
Equisetum_ramosissimum,Equisetum_ramosissimum_Desf.,Equisetaceae,Pteridophyte,Fern,Herb,LC,Perennial
Equisetum_ramosissimum,Equisetum_ramosissimum_Desf._var._huegelii_(Milde_)_Christenh._&_Husby_(=Equisetum_ramosissimum_Desf._subsp._debile_(Roxb._ex_vaucher)_Hauke),Equisetaceae,Pteridophyte,Fern,Herb,NE,Perennial
Erigeron_multiradiatus,Erigeron_multiradiatus_(Lindl._ex_DC.)_Benth._&_Hook.f.,Asteraceae,Angiosperm,Dicot,Herb,NE,Annual
Anemone_rupicola,Eriocapitella_rupicola_(Cambess.)_Christenh._&_Byng_(=Anemone_rupicola_Cambess.),Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Stachys_tibetica,"Eriophyton_tibeticum_(vatke)_Ryding_(=Stachys_tibetica_vatke,_Menitskia_tibetica_(vatke)_Krestovsk.)",Lamiaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Eritrichium_villosum,Eritrichium_villosum_(Ledeb.)_Bunge,Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Eritrichium_spathulatum,Eritrichium_spathulatum_(Benth.)_C.B.Clarke,Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Euphorbia_tibetica,Euphorbia_tibetica_Boiss.,Euphorbiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Euphorbia_thomsoniana,Euphorbia_thomsoniana_Boiss.,Euphorbiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Euphrasia_officinalis,Euphrasia_officinalis_L._subsp._pratensis_Fr._(=Euphrasia_vulgaris_Gueldenst._ex_Ledeb.),Orobanchaceae,Angiosperm,Dicot,Herb,NE,Annual
Euphrasia_himalayica,Euphrasia_himalayica_Wettst.,Orobanchaceae,Angiosperm,Dicot,Herb,NE,Annual
Euphrasia_platyphylla,Euphrasia_platyphylla_Pennell,Orobanchaceae,Angiosperm,Dicot,Herb,NE,Annual
Fagopyrum_esculentum,Fagopyrum_esculentum_Moench,Polygonaceae,Angiosperm,Dicot,Herb,NE,Annual
Farinopsis_salesoviana,Farinopsis_salesoviana_(Stephan)_Chrtek_&_SojÃ¡k_(=Comarum_salesovianum_(Stephan)_Asch._&_Graebn.),Rosaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Ferula_jaeschkeana,Ferula_jaeschkeana_vatke,Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Galium_boreale,Galium_boreale_L.,Rubiaceae,Angiosperm,Dicot,Herb,NE,Annual
Gentiana_burkillii,"Gentiana_aquatica_L._var._pseudoaquatica_(Kusn.)_S.Agrawal_(=Gentiana_burkillii_H.Smith,_Gentiana_pseudoaquatica_Kusnez.)",Gentianaceae,Angiosperm,Dicot,Herb,NE,Annual
Gentiana_tianschanica,Gentiana_kirilowii_Turcz._(=Gentiana_tianschanica_Rupr._ex_Kusn.),Gentianaceae,Angiosperm,Dicot,Herb,NE,Perennial
Gentiana_squarrosa,Gentiana_squarrosa_Ledeb.,Gentianaceae,Angiosperm,Dicot,Herb,NE,Annual
Gentiana_leucomelaena,Gentiana_leucomelaena_Maxim.,Gentianaceae,Angiosperm,Dicot,Herb,NE,Annual
Gentianella_moorcroftiana,Gentianella_moorcroftiana_(Wall._ex_Griseb.)_Airy_Shaw_(=Gentiana_moorcroftinana_Wall._ex_G.Don),Gentianaceae,Angiosperm,Dicot,Herb,NE,Annual
Gentianopsis_paludosa,Gentianopsis_paludosa_(Hook._f.)_Ma_var._alpina_T.N.Ho,Gentianaceae,Angiosperm,Dicot,Herb,NE,Perennial
Gentianopsis_paludosa,Gentianopsis_paludosa_(Hook.f.)_Ma_var._paludosa_(Hook.f.)_Ma_(=Gentiana_stracheyi_(C.B.Clarke)_Kitam),Gentianaceae,Angiosperm,Dicot,Herb,NE,Annual
Geranium_himalayense,Geranium_himalayense_Klotzsch_(=Geranium_regelii_Nevski),Geraniaceae,Angiosperm,Dicot,Herb,NE,Perennial
Haloxylon_thomsonii,Haloxylon_thomsonii_Bunge_ex_Boiss._(=Arthrophytum_thomsonii_(Bunge_ex_Boiss.)_Iljin),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Heracleum_pinnatum,Heracleum_pinnatum_C.B.Clarke,Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Hippolytia_senecionis,Hippolytia_senecionis_(Jacquem._ex_Besser)_Tzvelev_(=Tanacetum_senecionis_J.Gay_ex_DC.),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Hippophae_tibetana,Hippophae_tibetana_Schltdl.,Elaeagnaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Hippophae_rhamnoides,Hippophae_rhamnoides_L.,Elaeagnaceae,Angiosperm,Dicot,Shrub,LC,Perennial
Hippophae_rhamnoides,Hippophae_rhamnoides_L._subsp._turkestanica_Rousi,Elaeagnaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Hylotelephium_ewersii,"Hylotelephium_ewersii_(Ledeb.)_Ohba_(=Sedum_ewersii_(Ledeb.)_Ohba_var._homophyllum_Praeger,_Sedum_ewersii_Ledeb.)",Crassulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Pleurospermum_candollei,Hymenolaena_candollei_DC._(=Pleurospermum_candollei_(DC.)_Clarke),Apiaceae,Angiosperm,Dicot,Herb,NE,Annual
Impatiens_brachycentra,Impatiens_brachycentra_Kar._&_Kir.,Balsaminaceae,Angiosperm,Dicot,Herb,NE,Annual
Inula_koelzii,Inula_koelzii_R.Dawar_&_Qaiser,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Inula_rhizocephala,"Inula_rhizocephala_Schrenk_(=Inula_rhizocephala_Schrenk_var._rhizocephaloides_(Clarke)_Kit.,_Inula_rhizocephaloides_Cl.Comp.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Iris_hookeriana,Iris_hookeriana_Foster,Iridaceae,Angiosperm,Monocot,Herb,NE,Perennial
Senecio_chrysanthemoides,"Jacobaea_analoga_(DC.)_veldkamp_(=Senecio_laetus_Edgew.,_Senecio_chrysanthemoides_DC.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Senecio_korshinskyi,Jacobaea_korshinskyi_(Krasch.)_B.Nord._(=Senecio_korshinskyi_Krasch.),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Juniperus_semiglobosa,Juniperus_semiglobosa_Regel,Cupressaceae,Gymnosperm,,Tree,LC,Perennial
Koeleria_macrantha,Koeleria_macrantha_(Ledeb.)_Schult.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Koenigia_rumicifolia,Koenigia_rumicifolia_(Royle_ex_Bab.)_T.M.Schust._&_Reveal_(=Aconogonon_rumicifolium_(Royle_ex_Bab.)_Hara),Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Aconogonon_tortuosum,"Koenigia_tortuosa_(D.Don)_T.M.Schust._&_Reveal_(=Aconogonon_tortuosum_(D._Don)_Hara,_Polygonum_tortuosum_D.Don)",Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Krascheninnikovia_ceratoides,Krascheninnikovia_ceratoides_(L.)_Gueldenst._(=Krascheninnikovia_pungens_(Pazij)_Podlech),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Perennial
Lactuca_orientalis,Lactuca_orientalis_(Boiss.)_Boiss.,Asteraceae,Angiosperm,Dicot,Herb,NE,Annual
Lamium_amplexicaule,Lamium_amplexicaule_L.,Lamiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Leontopodium_brachyactis,Leontopodium_brachyactis_Gand.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Leontopodium_souliei,Leontopodium_souliei_Beauverd,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Lepidium_latifolium,Lepidium_latifolium_L.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual
Lepyrodiclis_holosteoides,Lepyrodiclis_holosteoides_(C.A.Mey.)_Fenzl_ex_Fisch._&_C.A.Mey._(=Arenaria_holosteoides_(C.A.Mey.)_Edgew.),Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Annual
Lindelofia_stylosa,Lindelofia_stylosa_(Kar._&_Kir.)_Brand,Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Lindelofia_anchusoides,Lindelofia_anchusoides_(Lindl.)_Lehm.,Boraginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Lomatogonium_carinthiacum,Lomatogonium_carinthiacum_(Wulfen)_A.Braun,Gentianaceae,Angiosperm,Dicot,Herb,NE,Perennial
Lonicera_asperifolia,Lonicera_asperifolia_Hook.f._&_Thomson,Caprifoliaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Lonicera_semenovii,Lonicera_semenovii_Regel_(=Lonicera_glauca_Hook.f._&_Thomson),Caprifoliaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Lonicera_spinosa,Lonicera_spinosa_(Decne.)_Jacq._ex_Walp.,Caprifoliaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Lonicera_microphylla,Lonicera_microphylla_Willd._ex_Schult.,Caprifoliaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Lotus_corniculatus,Lotus_corniculatus_L.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Matthiola_chorassanica,Matthiola_chorassanica_Bunge_ex_Boiss.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
