Name_of_taxa,Family,Plant_group,"Plant_sub-group",Habit,"IUCN_Status",Lifespan
Aulacospermum_stylosum_(C.B.Clarke)_Rech.f._&_Riedl,Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Avena_barbata_Pett._ex_Link,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Avena_fatua_L.,Poaceae,Angiosperm,Monocot,Herb,LC,Perennial
Avena_sativa_L.,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Avena_sterilis_L._subsp._ludoviciana_(Durieu)_M.Gillet_&_Magne,Poaceae,Angiosperm,Monocot,Herb,LC,Perennial
Axyris_amaranthoides_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Axyris_hybrida_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Axyris_prostrata_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Barbarea_vulgaris_R.Br.,Brassicaceae,Angiosperm,Dicot,Herb,LC,Biennial
Bassia_indica_(Wight)_A.J.Scott_(=Kochia_indica_Wight),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Bassia_prostrata_(L.)_Beck_(=Kochia_prostrara_(L.)_Schrad.),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Bassia_scoparia_(L.)_A.J.Scott_(=Kochia_scoparia_(L.)_Schrad.),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Bassia_stellaris_(Moq.)_Bornm._(=Kochia_stellaris_Moq.),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Berberis_jaeschkeana_C.K.Schneid.,Berberidaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Berberis_orthobotrys_Bien._ex_Aitch.,Berberidaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Berberis_pachyacantha_Bien._ex_Koehne_subsp._zabeliana_(C.K.Schneid.)_Jafri,Berberidaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Berberis_parkeriana_C.K.Schneid.,Berberidaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Berberis_ulicina_Hook.f._&_Thomson,Berberidaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Bergenia_ciliata_(Haw.)_Sternb.,Saxifragaceae,Angiosperm,Dicot,Herb,LC,Perennial
Bergenia_stracheyi_(Hook.f._&_Thomson)_Engl.,Saxifragaceae,Angiosperm,Dicot,Herb,NE,Perennial
Beta_vulgaris_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Betula_utilis_D.Don,Betulaceae,Angiosperm,Dicot,Tree,LC,Perennial
Betula_utilis_D.Don_subsp._jacquemontii_(Spach)_Ashburner_&_McAll._(=Betula_jacquemontii_Spach),Betulaceae,Angiosperm,Dicot,Tree,DD,Perennial
Bidens_cernua_L.,Asteraceae,Angiosperm,Dicot,Herb,LC,Annual
Biebersteinia_odora_Stephan_ex_Fisch.,Biebersteiniaceae,Angiosperm,Dicot,Herb,NE,Perennial
Bistorta_affinis_(D.Don)_Greene,Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Bistorta_amplexicaulis_(D.Don)_Greene_(=Polygonum_amplexicaule_D._Don),Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Bistorta_macrophylla_(D.Don)_SojÃ¡k_(=Polygonum_macrophyllum_D.Don),Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Bistorta_officinalis_Delarbre_(=Polygonum_bistorta_L.),Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
Bistorta_vacciniifolia_(Wall._ex_Meisn.)_Greene_(=Polygonum_vacciniifolium_Wall._ex_Meisn.),Polygonaceae,Angiosperm,Dicot,Herb,NE,Annual
Bistorta_vivipara_(L.)_Delarbre_(=Polygonum_viviparum_L.),Polygonaceae,Angiosperm,Dicot,Herb,NE,Perennial
"Blitum_litwinowii_(Paulsen)_S.Fuentes,_Uotila_&_Borsch_(=Chenopodium_litwinowii_(Paulsen)_Uotila)",Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Blitum_virgatum_L._(=Chenopodium_foliosum_Asch.),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Blumea_bifoliata_(L.)_DC.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
"Blysmus_compressus_(L.)_Panz._ex_Link_subsp._compressus_(L.)_Panz._ex_Link_(=Scirpus_caricis_Retz.,_Scirpus_planifolicus_Grimm)",Cyperaceae,Angiosperm,Monocot,Herb,LC,Perennial
Blysmus_rufus_Link_(=Scirpus_rufus_Schrad.),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Bothriochloa_ischaemum_(L.)_Keng,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Bothriochloa_pertusa_(L.)_A._Camus,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Botrychium_lunaria_(L.)_Sw.,Ophioglossaceae,Pteridophyte,Fern,Herb,NE,Perennial
Brachypodium_sylvaticum_(Huds.)_P._Beauv.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Brassica_juncea_(L.)_Czern.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Biennial
Brassica_oleracea_L.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Biennial
Brassica_rapa_L._(=Brassica_campestris_L.),Brassicaceae,Angiosperm,Dicot,Herb,NE,Biennial
Braya_alpina_Sternb._&_Hoppe,Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual
"Braya_humilis_(C.A.Mey.)_B.L.Rob._(=Neotorularia_humilis_(C.A.Mey.)_Hedge_&_J.LÃ©onard.,_Torularia_humilis_(Ledeb.)_O.E.Schulz)",Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
"Braya_rosea_Bunge_(=Braya_brachycarpa_vassilcz.,_Braya_trinkleri_Schmid,_Braya_tibetica_Hook._f._&_Thomson,_Braya_aenea_Bunge)",Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Braya_tibetica_Hook._f._&_Thomson,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Briza_media_L.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Bromus_arvensis_L.,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Bromus_confinis_Nees_ex_Steud.,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Bromus_danthoniae_Trin.,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Bromus_gracillimus_Bunge_(=Bromus_crinitus_Boiss._&_Hohen.),Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Bromus_inermis_Leyss._(=Bromus_inermis_Leyss_var._villosus_Mert._&_Koch),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Bromus_japonicus_Thunb.,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Bromus_lanceolatus_Roth,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Bromus_moeszii_PÃ©nzes_(=Bromus_sericeus_Drobow),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Bromus_oxyodon_Schrenk,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Bromus_pectinatus_Thunb.,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Bromus_ramosus_Huds.,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Bromus_scoparius_L.,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Bromus_tectorum_L.,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Bromus_tomentosus_Trin.,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Bukiniczia_cabulica_(Boiss.)_Lincz.,Plumbaginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Bupleurum_falcatum_L.,Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Bupleurum_gracillimum_Klotzsch,Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Bupleurum_hamiltonii_N.P.Balakr._(=Bupleurum_tenue_Buch.-Ham._ex_D.Don),Apiaceae,Angiosperm,Dicot,Herb,NE,Annual
Bupleurum_jucundum_Kurz,Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Bupleurum_longicaule_Wall._ex_DC.,Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Bupleurum_rupestre_Edgew._(=Bupleurum_aitchisonii_(Boiss.)_H.Wolff_f._atroviolaceum_O.E.Schulz),Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Bupleurum_setaceum_Fenzl,Apiaceae,Angiosperm,Dicot,Herb,NE,Annual
Bupleurum_subuniflorum_Boiss._&_Heldr.,Apiaceae,Angiosperm,Dicot,Herb,NE,Annual
Bupleurum_thomsoni_Clarke,Apiaceae,Angiosperm,Dicot,Herb,NE,Annual
Calamagrostis_decora_Hook.f.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Calamagrostis_emodensis_Griseb._(=Calamagrostis_garhwalensis_C._E._Hubb._&_Bor),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Calamagrostis_epigejos_(L.)_Roth,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
"Calamagrostis_holciformis_Jaub._&_Spach_(=Deyeuxia_holciformis_(Jaub._&_Spach),_Deyeuxia_compacta_Munro_ex_Duthie)",Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Calamagrostis_lahulensis_G.Singh_(=Calamagrostis_pulchella_Griseb.),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Calamagrostis_pseudophragmites_(Haller_f.)_Koeler_(=Calamagrostis_pseudophragmite_(Haller_f.)_Koeler_subsp._tartarica_(Hook.f.)_Tzvelev),Poaceae,Angiosperm,Monocot,Herb,LC,Perennial
Calamagrostis_scabrescens_Griseb._(=Deyeuxia_scabrescens_(Griseb.)_Munro_ex_Duthie),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Calamagrostis_stolizkai_Hook.f.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Calamagrostis_turkestanica_Hack.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Calendula_officinalis_L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Annual
Callianthemum_anemonoides_(J._Zahlbr.)_Endl._ex_Heynh,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Callianthemum_pimpinelloides_(D._Don_ex_Royle)_Hook._f._&_Thomson,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Callistephus_chinensis_(L.)_Nees,Asteraceae,Angiosperm,Dicot,Herb,NE,Annual
Callitriche_palustris_L.,Plantaginaceae,Angiosperm,Dicot,Herb,LC,Perennial
Callitriche_stagnalis_Scop.,Plantaginaceae,Angiosperm,Dicot,Herb,NE,Perennial
Caltha_alba_Cambess._(=Caltha_palustris_L._var._alba_(Cambess.)_Hook.f._&_Thomson),Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Campanula_alsinoides_Hook.f._&_Thomson,Campanulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Campanula_argyrotricha_Wall._ex_A.DC.,Campanulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Campanula_aristata_Wall.,Campanulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Campanula_calcarata_Sommier_&_Levier,Campanulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Campanula_cana_Wall.,Campanulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Campanula_cashmeriana_Royle,Campanulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Campanula_latifolia_L.,Campanulaceae,Angiosperm,Dicot,Herb,NE,Perennial
"Campanula_pallida_Wall._(=Campanula_pallida_Wall._var._Tibetica_(Hook._f._&_Thomson),_Campanula_colorata_Wall._var._tibetica_Hook.f._&_Thomson,_Campanula_colorata_Wall.)",Campanulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Campeiostachys_schrenkiana_(Fisch._&_C.A.Mey._ex_Schrenk)_Drobow_(=Elymus_schrenkianus_(Fisch._&_C.A.Mey.)_Tzvelev),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Capparis_spinosa_L.,Capparaceae,Angiosperm,Dicot,Climber,LC,Perennial
Capsella_bursa-_pastoris_(L.)_Medik.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Annual
Capsicum_annuum_L.,Solanaceae,Angiosperm,Dicot,Herb,NE,Annual
Caragana_brevifolia_Kom.,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Caragana_gerrardiana_Benth.,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Caragana_versicolor_Benth.,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Cardamine_macrophylla_Willd._subsp._macrophylla_Willd._(=Cardamine_macrophylla_Willd_var._lobata_Hook.f._&_T.Anderson),Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Carduus_edelbergii_Rech.f.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Carduus_nutans_L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Carex_alatauensis_S.R.Zhang_(=Kobresia_humilis_(C.A.Mey._ex_Trautv.)_Serg.),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_atrofusca_Schkuhr,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_bistaminata_(W.Z.Di_&_M.J.Zhong)_S.R.Zhang,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_borii_Nelmes_(=Carex_borii_Nelmes._f._lutea_R.R.Stewart),Cyperaceae,Angiosperm,Monocot,Herb,LC,Perennial
Carex_canescens_L._subsp._canescens_L.,Cyperaceae,Angiosperm,Monocot,Herb,LC,Perennial
Carex_capillifolia_(Decne.)_S.R.Zhang_(=Kobresia_capillifolia_(Decne.)_C.B.Clarke),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_cercostachys_Franch.,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_coninux_(F.T.Wang_&_Tang)_S.R.Zhang_(=Kobresia_karakorumensis_DickorÃ©),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_cruenta_Nees,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_deasyi_(C.B.Clarke)_O.Yano_&_S.R.Zhang_(=Kobresia_pamiroalaica_Ivanova),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_diluta_M.Bieb.,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_divisa_Huds._(=Carex_divisa_Huds._var._curta_Gray),Cyperaceae,Angiosperm,Monocot,Herb,LC,Perennial
Carex_haematostoma_Nees_(=Carex_haematostoma_Nees._var._submacrogyna_Kuk.),Cyperaceae,Angiosperm,Monocot,Herb,LC,Perennial
Carex_heterostachya_Bunge,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_hohxilensis_(R.F.Huang)_S.R.Zhang,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_hypsobates_Nelmes,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_infuscata_Nees,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_karoi_(Freyn)_Freyn,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
"Carex_kokanica_(Regel)_S.R.Zhang_(=Kobresia_royleana_(Nees)_Boeckeler,_Kobresia_royleana_(Nees)_Boeckeler_var._kokanica_Kuk.)",Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_maritima_Gunnerus,Cyperaceae,Angiosperm,Monocot,Herb,LC,Perennial
Carex_melanantha_C.A.Mey.,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_microglochin_Wahlenb.,Cyperaceae,Angiosperm,Monocot,Herb,LC,Perennial
Carex_montis-_everesti_KÃ¼k.,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_moorcroftii_Falc._ex_Boott_(=Carex_melanantha_C.A.Mey._var._moorcroftii_(Falc._ex_Boott)_KÃ¼k.,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_muricata_L._subsp._muricata_L._(=Carex_serotina_Merat),Cyperaceae,Angiosperm,Monocot,Herb,LC,Perennial
Carex_nigerrima_Nelmes,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_nivalis_Boott_(=Carex_luteobrunnea_(Kuk.)_Nelmes),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_nudicarpa_(Y.C.Yang)_S.R.Zhang_(=Kobresia_macrantha_Boeckeler),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_obscura_Nees,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_oederi_Retz._var._oederi_(=Carex_philocrena_v._Krecz.),Cyperaceae,Angiosperm,Monocot,Herb,LC,Perennial
Carex_oligocarya_C.B.Clarke,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_orbicularis_Boott,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_ovoidispica_O.Yano_(=Kobresia_nitens_C.B.Clarke),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_pamirensis_C.B.Clarke,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_parva_Nees,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_parvula_O.Yano_(=Kobresia_pygmaea_(C.B.Clarke)_C.B.Clarke),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_plectobasis_v.I.Krecz,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_popovii_v.I.Krecz._subsp._popovii_v.I.Krecz._(=Carex_decaulescens_v.I.Krecz.),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_pseudobicolor_Boeckeler,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_pseudofoetida_KÃ¼k.,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_pseudolaxa_(C.B.Clarke)_O.Yano_&_S.R.Zhang_(=Kobresia_laxa_Nees),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_psychrophila_Nees,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_sagaensis_Y.C.Yang,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_sargentiana_(Hemsl.)_S.R.Zhang_(=Kobresia_robusta_Maxim.),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_setosa_Boott,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_songorica_Kar._&_Kir.,Cyperaceae,Angiosperm,Monocot,Herb,LC,Perennial
Carex_stenophylla_Wahlenb.,Cyperaceae,Angiosperm,Monocot,Herb,LC,Perennial
Carex_stenophylla_Wahlenb._subsp._stenophylloides_(v.I.Krecz.)_T.v.Egorova_(=Carex_stenophylla_Wahlenb._var._longipedicellata_(Boeckeler)_KÃ¼k.),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_tristis_M.Bieb.,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_unciniiformis_Boeckeler_(=Kobresia_nepalensis_(Nees)_KÃ¼k.),Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carex_vulpinaris_Nees,Cyperaceae,Angiosperm,Monocot,Herb,NE,Perennial
Carthamus_tinctorius_L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Carum_carvi_L.,Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Cassiope_fastigiata_(Wall.)_D.Don,Ericaceae,Angiosperm,Dicot,Shrub,NE,Perennial
"Catabrosa_aquatica_(L.)_P.Beauv._(=Catabrosa_aquatica_(L.)_P.Beauv._var._angusta_Stapf,_Catabrosa_sikkimensis_Stapf_ex_Hk._F.)",Poaceae,Angiosperm,Monocot,Herb,LC,Perennial
Catabrosella_himalaica_(Hook._f.)_Tzvelev_(=Colpodium_himalaicum_(Hook._f.)_Bor_),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Cenchrus_americanus_(L.)_Morrone_(=Setaria_glauca_(L.)_P.Beauv.),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Cenchrus_flaccidus_(Griseb.)_Morrone_(=Pennisetum_flaccidum_Griseb.),Poaceae,Angiosperm,Monocot,Herb,LC,Perennial
Cenchrus_orientalis_(Rich.)_Morrone_(=Pennisetum_orientale_Rich.),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Centaurea_cineraria_L._subsp._cineraria_L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Centaurea_cyanus_L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Annual
Centaurea_depressa_M.Bieb.,Asteraceae,Angiosperm,Dicot,Herb,NE,Annual
Centaurium_pulchellum_(Sw.)_Druce,Gentianaceae,Angiosperm,Dicot,Herb,LC,Annual
Centaurium_pulchellum_(Sw.)_Druce_var._altaicum_(Griseb.)_Kitag._&_H.Hara_(=Centaurium_meyeri_Druce),Gentianaceae,Angiosperm,Dicot,Herb,NE,Annual
Cerastium_alpinum_L.,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Cerastium_cerastoides_(L.)_Britton_(=Dichodon_cerastoides_(L.)_Rchb.),Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Cerastium_fontanum_Baumg.,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Cerastium_fontanum_Baumg._subsp._grandiflorum_(Hamilt._ex_D.Don)_H.Hara_(=Cerastium_vulgatum_L._var._grandiflora_(Don)_Edgew._&_Hook.f),Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Annual
Cerastium_glomeratum_Thuill._subsp._glomeratum_Thuill.,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Annual
Cerastium_holosteoides_Fr.,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Cerastium_pusillum_Ser.,Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Chaerophyllum_reflexum_Lindl._var._acuminatum_(Lindl.)_Hedge_&_Lamond_(=Chaerophyllum_acuminatum_Lindl.),Apiaceae,Angiosperm,Dicot,Herb,NE,Annual
Chaerophyllum_villosum_Wall._ex_DC.,Apiaceae,Angiosperm,Dicot,Herb,NE,Perennial
Chamaerhodos_sabulosa_Bunge,Rosaceae,Angiosperm,Dicot,Herb,NE,Perennial
"Chenopodiastrum_hybridum_(L.)_S.Fuentes,_Uotila_&_Borsch_(=Chenopodium_hybridum_L.)",Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
"Chenopodiastrum_murale_(L.)_S.Fuentes,_Uotila_&_Borsch_(=Chenopodium_murale_L.)",Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Chenopodium_album_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Chenopodium_album_L._var._album_(=Chenopodium_strictum_Roth),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Chenopodium_ficifolium_Sm.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Chenopodium_karoi_(Murr)_Aellen,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Chenopodium_novopokrovskyanum_(Aellen)_Uotila,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Chenopodium_opulifolium_Schrad._ex_W.D.J.Koch_&_Ziz_(=Chenopodium_opulifolium_Schrad._ex_W.D.J.Koch_&_Ziz_subsp._orientale_Murr),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Chenopodium_pamiricum_Iljin,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Chenopodium_tibeticum_A.J.Li,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Chenopodium_vulvaria_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Cherleria_biflora_(L.)_A.J.Moore_&_Dillenb._(=Minuartia_biflora_(L.)_Schinz_&_Thell.),Caryophyllaceae,Angiosperm,Dicot,Herb,NE,Perennial
Chesneya_cuneata_(Benth.)_Ali_(=Caragana_cuneata_(Benth.)_Baker),Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Chesneya_popovii_Kamelin_&_Yakovlev,Fabaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Chloris_virgata_Sw.,Poaceae,Angiosperm,Monocot,Herb,NE,Annual
Chondrilla_graminea_M.Bieb.,Asteraceae,Angiosperm,Dicot,Herb,NE,Annual
Chorispora_macropoda_Trautv.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Chorispora_sabulosa_Cambess.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Chorispora_sibirica_(L.)_DC.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Chorispora_tenella_(Pallas)_DC.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Christolea_crassifolia_Cambess.,Brassicaceae,Angiosperm,Dicot,Herb,NE,Perennial
Chrysanthemum_indicum_L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Chrysopogon_gryllus_Trin._(=Chrysopogon_gryllus_Trin._subsp._echinulatus_(Nees)_Cope),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Cicer_arietinum_L.,Fabaceae,Angiosperm,Dicot,Herb,NE,Annual
Cicer_microphyllum_Benth.,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Cicerbita_benthamii_(C.B.Clarke)_Roohi_Bano_&_Qaiser_(=Askellia_benthamii_(C.B.Clarke)_Sennikov),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Cichorium_calvum_Sch.Bip._ex_Asch.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Cichorium_intybus_L.,Asteraceae,Angiosperm,Dicot,Herb,NE,Annual
Cirsium_arvense_(L.)_Scop._(=Breea_arvensis_(L.)_Less.),Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Cirsium_wallichii_DC.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
Citrullus_lanatus_(Thunb.)_Matsum._&_Nakai,Cucurbitaceae,Angiosperm,Dicot,Herb,NE,Annual
Cleistogenes_songorica_(Roshev.)_Ohwi_(=Kengia_mutica_(Keng)_Packer),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Clematis_barbellata_Edgew,Ranunculaceae,Angiosperm,Dicot,Climber,NE,Perennial
Clematis_grata_Wall.,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Clematis_ladakhiana_Grey-Wilson,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Clematis_orientalis_L.,Ranunculaceae,Angiosperm,Dicot,Shrub,NE,Perennial
Clematis_tangutica_(Maxim.)_Korsh.,Ranunculaceae,Angiosperm,Dicot,Herb,NE,Perennial
Codonopsis_clematidea_(Schrenk)_C.B.Clarke,Campanulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Codonopsis_ovata_Benth.,Campanulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Codonopsis_rotundifolia_Benth.,Campanulaceae,Angiosperm,Dicot,Herb,NE,Perennial
Colchicum_luteum_Baker.,Liliaceae,Angiosperm,Monocot,Herb,NE,Perennial
Colutea_nepalensis_Sims,Fabaceae,Angiosperm,Dicot,Herb,NE,Perennial
Comastoma_falcatum_(Turcz.)_Toyok.,Gentianaceae,Angiosperm,Dicot,Herb,NE,Annual
Comastoma_pseudopulmonarium_Omer,Gentianaceae,Angiosperm,Dicot,Herb,NE,Perennial
