Name_of_taxa,Family,Plant_group,"Plant_sub-group",Habit,"IUCN_Status",Lifespan
Allium_schoenoprasum_L.,Amaryllidaceae,Angiosperm,Monocot,Herb,LC,Perennial
Allium_semenovii_Regel,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_tenuicaule_Regel,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_tuberosum_Rottler_ex_Spreng.,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Allium_victorialis_L.,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial
Alopecurus_aequalis_Sobol.,Poaceae,Angiosperm,Monocot,Herb,LC,Perennial
Alopecurus_arundinaceus_Poir.,Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Alopecurus_himalaicus_Hook.f.,Poaceae,Angiosperm,Monocot,Herb,LC,Perennial
Alyssum_desertorum_Stapf,Brassicaceae,Angiosperm,Dicot,Herb,NE,Biennial
Amaranthus_blitum_L._subsp._oleraceus_(L.)_Costea_(=Amaranthus_lividus_L.),Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Amaranthus_caudatus_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Amaranthus_cruentus_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Amaranthus_graecizans_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Amaranthus_hybridus_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Amaranthus_powellii_S.Watson,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Amaranthus_retroflexus_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Amaranthus_viridis_L.,Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual
Ampelodesmos_mauritanicus_(Poir.)_T.Durand_&_Schinz_(=Deyeuxia_arundinacea_P.Beauv.),Poaceae,Angiosperm,Monocot,Herb,NE,Perennial
Anaphalis_contorta_(D.Don)_Hook.f.,Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
"Anaphalis_nepalensis_(Spreng.)_Hand.-_Mazz._var._nepalensis_(=Anaphalis_cuneifolia_Hook.f.,_Anaphalis_nubigena_DC.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial
