"Inula rhizocephala
Schrenk (=Inula
rhizocephala
Schrenk var.
rhizocephaloides
(Clarke) Kit., Inula
rhizocephaloides
Cl.Comp.)",,Inula_rhizocephala
"Iris hookeriana
Foster",,Iris_hookeriana
"Jacobaea analoga
(DC.) veldkamp
(=Senecio laetus
Edgew., Senecio
chrysanthemoides
DC.)",,Senecio_chrysanthemoides
"Jacobaea
korshinskyi (Krasch.)
B.Nord. (=Senecio
korshinskyi Krasch.)",,Senecio_korshinskyi
"Juniperus
semiglobosa Regel",,Juniperus_semiglobosa
"Koeleria macrantha
(Ledeb.) Schult.",,Koeleria_macrantha
"Koeleria spicata
(L.) BarberÃ¡,
Quintanar, Soreng
& P.M.Peterson
(=Trisetum spicatum
(L.) K.Richt.)",,Trisetum_spicatum_(g)
"Koenigia rumicifolia
(Royle ex Bab.)
T.M.Schust.
& Reveal
(=Aconogonon
rumicifolium (Royle
ex Bab.) Hara)",,Koenigia_rumicifolia
"Koenigia tortuosa
(D.Don) T.M.Schust.
& Reveal
(=Aconogonon
tortuosum (D. Don)
Hara, Polygonum
tortuosum D.Don)",,Aconogonon_tortuosum
"Krascheninnikovia
ceratoides (L.)
Gueldenst.
(=Krascheninnikovia
pungens (Pazij)
Podlech)",,Krascheninnikovia_ceratoides
"Lactuca orientalis
(Boiss.) Boiss.",,Lactuca_orientalis
"Lamium
amplexicaule L.",,Lamium_amplexicaule
"Leontopodium
brachyactis Gand.",,Leontopodium_brachyactis
"Leontopodium
souliei Beauverd",,Leontopodium_souliei
"Lepidium latifolium
L.",,Lepidium_latifolium
"Lepyrodiclis
holosteoides
(C.A.Mey.) Fenzl ex
Fisch. & C.A.Mey.
(=Arenaria
holosteoides
(C.A.Mey.) Edgew.)",,Lepyrodiclis_holosteoides
"Leymus secalinus
(Georgi) Tzvelev",,Leymus_secalinus_(g)
"Lindelofia stylosa
(Kar. & Kir.) Brand",,Lindelofia_stylosa
"Lindelofia
anchusoides (Lindl.)
Lehm.",,Lindelofia_anchusoides
"Lomatogonium
carinthiacum
(Wulfen) A.Braun",,Lomatogonium_carinthiacum
"Lonicera asperifolia
Hook.f. & Thomson",,Lonicera_asperifolia
"Lonicera semenovii
Regel (=Lonicera
glauca Hook.f. &
Thomson)",,Lonicera_semenovii
"Lonicera spinosa
(Decne.) Jacq. ex
Walp.",,Lonicera_spinosa
"Lonicera
microphylla Willd.
ex Schult.",,Lonicera_microphylla
Lotus corniculatus L.,,Lotus_corniculatus
