Name of taxa,Family,Plant group,PresenceInData,"Plant
Allardia vestita_Hook.f. & Thomson_ex C.B.Clarke_(=Waldheimia vestita_(Hook.f. & Thomson_ex C.B.Clarke)_Pamp.),Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Changthang,
Hanle, Nubra
valley, Khaltsi","6618-SAZ,
37916-
KASH",,
Allium_atrosanguineum_Schrenk var._fedschenkoanum_(Regel) G.H.Zhu &_Turland (=Allium_fedtschenkoanum_Regel),Amaryllidaceae,Angiosperm,0,Monocot,Herb,LC,Perennial,"Leh, Karnak,
Upshi","6619-SAZ,
12008-
KASH",,
Name of taxa,Family,Plant group,0,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,
Allium auriculatum_Kunth,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Nubra valley,
Lamayuru,
Zanaskar
valley","6620-SAZ,
33415-
KASH",,
Allium caesioides_Wendelbo,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,Drass,"8829-SAZ,
23170-
KASH",,
Allium carolinianum_DC. (=Allium_thomsonii Baker),Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Drass,
Lamayuru,
Matayan,
Nubra valley,
Sapi","9821-SAZ,
14977-
KASH",,
Allium cepa L.,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Annual,"Kargil, Nubra
valley, Drass,
Shyok valley","4543-SAZ,
38892-
KASH",,
Allium_consanguineum_Kunth,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Drass,
Pandrass,
Matayan","6622-SAZ,
34449-
KASH",,
Allium fistulosum L.,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Drass,
Matayan","6623-SAZ,
22172-
KASH",,
Allium humile Kunth,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Leh, Zanaskar
valley,
Rangdum,
Nubra valley,","6625-SAZ,
9540-
KASH",,
Allium jacquemontii_Kunth,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Sapi, Zanaskar
valley, Turtuk","4544-SAZ,
26266-
KASH",,
Allium loratum_Baker,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Nubra valley,
Zanaskar
valley,
Pangong","4545-SAZ,
12761-
KASH",,
Allium oreoprasum_Schrenk,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Hunder,
Tegar, Diskit,
Sapi. Hemis,
Panikhar,
Nubra valley,
Padum","4546-SAZ,
29868-
KASH",,
Allium platyspathum_Schrenk,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Nubra valley,
Drass, Batalik,
Sheshthang,
Kargil,","4547-SAZ,
11278-
KASH",,
Allium_przewalskianum_Regel (=Allium_stoliczkii Regel),Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Shushal,
Zanaskar
valley,
Khardong La,
Chiktan, Nubra
valley, Shyok,
Padum","4548-SAZ,
37063-
KASH",,
Allium ramosum L.,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Drass, Leh,
Zanaskar
valley","18204-
KASH",,
Allium roylei Stearn,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NT,Perennial,"Sapi, Rangdum","23410-
KASH",,
Allium rubellum_M.Bieb.,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Kargil, Leh,
Zanaskar
valley","2617-
KASH",,
Allium sativum L.,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Kargil, Sapi,
Panikhar,
Sankoo, Nubra
valley, Shyok
valley","4550-SAZ,
23241-
KASH",,
Name of taxa,Family,Plant group,0,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,
Allium_schoenoprasum L.,Amaryllidaceae,Angiosperm,0,Monocot,Herb,LC,Perennial,"Drass,
Zanaskar
valley, Suru
valley,
Budhkharbu,
Lamayuru","4551-SAZ,
10827-
KASH",,
Allium semenovii_Regel,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Drass, Nubra
valley,
Zanaskar
valley","6629-
KASH",,
Allium tenuicaule_Regel,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Matayan,
Pandrass","4552-SAZ,
17091-
KASH",,
Allium tuberosum_Rottler ex Spreng.,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Nubra valley,
Hunder, Turtuk","6630-SAZ,
19555-
KASHâ€™",,
Allium victorialis L.,Amaryllidaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Cholichungi,
Batalik, Drass","43828-
KASH",,
Alopecurus aequalis_Sobol.,Poaceae,Angiosperm,0,Monocot,Herb,LC,Perennial,"Kargil, Leh","6043-SAZ,
18218-
KASH",,
Alopecurus_arundinaceus Poir.,Poaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,"Kargil, Nubra
valley","6044-SAZ,
14790-
KASH",,
Alopecurus_himalaicus Hook.f.,Poaceae,Angiosperm,0,Monocot,Herb,LC,Perennial,"Drass,
Zanaskar
valley, Suru
valley","4352-SAZ,
5567-
KASH",,
Alyssum desertorum_Stapf,Brassicaceae,Angiosperm,0,Dicot,Herb,NE,Biennial,"Kargil,
Zanaskar
valley, Suru
valley","8914-
KASH",,
Amaranthus blitum_L. subsp. oleraceus_(L.) Costea_(=Amaranthus_lividus L.),Amaranthaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Kargil, Leh,
Sankoo, Abran,
Padum","4500-SAZ,
42352-
KASH",,
Amaranthus_caudatus L.,Amaranthaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Kargil,
Sankoo, Baroo,
Khalsar, Nubra
valley, Turtuk,
Leh city, Karu,","9850-SAZ,
35313-
KASH",,
Amaranthus cruentus_L.,Amaranthaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Kargil,
Sankoo, Baroo
Nubra valley,
Turtuk, Leh
city, Karu,
Trespone,
Padum","4502-SAZ,
23359-
KASH",,
Amaranthus_graecizans L.,Amaranthaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Kargil, Leh
City, Padum,
Turtuk, Nubra
valley, Khaltsi","4503-SAZ,
33758-
KASH",,
