"Allium carolinianum
DC. (=Allium
thomsonii Baker)",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Drass,
Lamayuru,
Matayan,
Nubra valley,
Sapi","9821-SAZ,
14977-
KASH",,,
Allium cepa L.,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Annual,"Kargil, Nubra
valley, Drass,
Shyok valley","4543-SAZ,
38892-
KASH",,,
"Allium
consanguineum
Kunth",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Drass,
Pandrass,
Matayan","6622-SAZ,
34449-
KASH",,,
Allium fistulosum L.,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Drass,
Matayan","6623-SAZ,
22172-
KASH",,,
Allium humile Kunth,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Leh, Zanaskar
valley,
Rangdum,
Nubra valley,","6625-SAZ,
9540-
KASH",,,
"Allium jacquemontii
Kunth",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Sapi, Zanaskar
valley, Turtuk","4544-SAZ,
26266-
KASH",,,
"Allium loratum
Baker",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Nubra valley,
Zanaskar
valley,
Pangong","4545-SAZ,
12761-
KASH",,,
"Allium oreoprasum
Schrenk",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Hunder,
Tegar, Diskit,
Sapi. Hemis,
Panikhar,
Nubra valley,
Padum","4546-SAZ,
29868-
KASH",,,
"Allium platyspathum
Schrenk",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Nubra valley,
Drass, Batalik,
Sheshthang,
Kargil,","4547-SAZ,
11278-
KASH",,,
"Allium
przewalskianum
Regel (=Allium
stoliczkii Regel)",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Shushal,
Zanaskar
valley,
Khardong La,
Chiktan, Nubra
valley, Shyok,
Padum","4548-SAZ,
37063-
KASH",,,
Allium ramosum L.,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Drass, Leh,
Zanaskar
valley","18204-
KASH",,,
Allium roylei Stearn,Amaryllidaceae,Angiosperm,Monocot,Herb,NT,Perennial,"Sapi, Rangdum","23410-
KASH",,,
"Allium rubellum
M.Bieb.",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Kargil, Leh,
Zanaskar
valley","2617-
KASH",,,
Allium sativum L.,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Kargil, Sapi,
Panikhar,
Sankoo, Nubra
valley, Shyok
valley","4550-SAZ,
23241-
KASH",,,
Name of taxa,Family,Plant group,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,,
"Allium
schoenoprasum L.",Amaryllidaceae,Angiosperm,Monocot,Herb,LC,Perennial,"Drass,
Zanaskar
valley, Suru
valley,
Budhkharbu,
Lamayuru","4551-SAZ,
10827-
KASH",,,
"Allium semenovii
Regel",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Drass, Nubra
valley,
Zanaskar
valley","6629-
KASH",,,
"Allium tenuicaule
Regel",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Matayan,
Pandrass","4552-SAZ,
17091-
KASH",,,
"Allium tuberosum
Rottler ex Spreng.",Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Nubra valley,
Hunder, Turtuk","6630-SAZ,
19555-
KASH’",,,
Allium victorialis L.,Amaryllidaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Cholichungi,
Batalik, Drass","43828-
KASH",,,
"Alopecurus aequalis
Sobol.",Poaceae,Angiosperm,Monocot,Herb,LC,Perennial,"Kargil, Leh","6043-SAZ,
18218-
KASH",,,
"Alopecurus
arundinaceus Poir.",Poaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Kargil, Nubra
valley","6044-SAZ,
14790-
KASH",,,
"Alopecurus
himalaicus Hook.f.",Poaceae,Angiosperm,Monocot,Herb,LC,Perennial,"Drass,
Zanaskar
valley, Suru
valley","4352-SAZ,
5567-
KASH",,,
"Alyssum desertorum
Stapf",Brassicaceae,Angiosperm,Dicot,Herb,NE,Biennial,"Kargil,
Zanaskar
valley, Suru
valley","8914-
KASH",,,
"Amaranthus blitum
L. subsp. oleraceus
(L.) Costea
(=Amaranthus
lividus L.)",Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual,"Kargil, Leh,
Sankoo, Abran,
Padum","4500-SAZ,
42352-
KASH",,,
"Amaranthus
caudatus L.",Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual,"Kargil,
Sankoo, Baroo,
Khalsar, Nubra
valley, Turtuk,
Leh city, Karu,","9850-SAZ,
35313-
KASH",,,
"Amaranthus cruentus
L.",Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual,"Kargil,
Sankoo, Baroo
Nubra valley,
Turtuk, Leh
city, Karu,
Trespone,
Padum","4502-SAZ,
23359-
KASH",,,
"Amaranthus
graecizans L.",Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual,"Kargil, Leh
City, Padum,
Turtuk, Nubra
valley, Khaltsi","4503-SAZ,
33758-
KASH",,,
"Amaranthus
hybridus L.",Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual,"Kargil city,
Nubra valley,
Baroo,
Mulbekh,
Khaltsi","4504-SAZ,
39827-
KASH",,,
"Amaranthus powellii
S.Watson",Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual,"Kargil city,
Suru valley,
Leh, Nubra
valley","4506-SAZ,
11981-
KASH",,,
Name of taxa,Family,Plant group,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,,
"Amaranthus
retroflexus L.",Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual,"Kargil city,
Baroo, Leh
city, Nubra
valley","4505-SAZ,
12720-
KASH",,,
"Amaranthus viridis
L.",Amaranthaceae,Angiosperm,Dicot,Herb,NE,Annual,"Kargil,
Sankoo, Baroo","4507-SAZ,
44294-
KASH",,,
"Ampelodesmos
mauritanicus
(Poir.) T.Durand &
Schinz (=Deyeuxia
arundinacea
P.Beauv.)",Poaceae,Angiosperm,Monocot,Herb,NE,Perennial,"Minimarg,
Pandrass","6062-SAZ,
23710-
KASH",,,
"Anaphalis contorta
(D.Don) Hook.f.",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Drass, Batalik,
Matayan","4580-SAZ,
26333-
KASH",,,
"Anaphalis nepalensis
(Spreng.) Hand.-
Mazz. var. nepalensis
(=Anaphalis
cuneifolia Hook.f.,
Anaphalis nubigena
DC.)",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Matayan,
Drass,
Zanaskar
valley, Penzi
La, Kargil, Leh
Batalik","4581-SAZ,
15419-
KASH",,,
"Anaphalis royleana
DC.",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Zanaskar
valley,
Chiktan, Penzi
La","4582-SAZ,
33061-
KASH",,,
"Anaphalis staintonii
Georgiadou",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Zanaskar
valley, Nubra
valley,","34048-
KASH",,,
"Anaphalis
triplinervis (Sims.)
C.B.Clarke",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Chiktan, Karit,
Lamsu, Penzi
La, Padum","4584-SAZ,
34824-
KASH",,,
"Anaphalis virgata
Thomson",Asteraceae,Angiosperm,Dicot,Herb,NE,Perennial,"Drass,
Zanaskar
valley, Suru
valley, Kargil,
Hemis Gompa","4585-SAZ,
26574-
KASH",,,
"Anchusa arvensis
(L.) M.Bieb.
(=Lycopsis arvensis
Linn.)",Boraginaceae,Angiosperm,Dicot,Herb,NE,Annual,"Budhkharbu,
Kargil","4722-SAZ,
15571-
KASH",,,
"Anchusa arvensis
(L.) M.Bieb. subsp.
orientalis (L.)
Nordh.",Boraginaceae,Angiosperm,Dicot,Herb,NE,Annual,"Drass, Kargil",__,vI,,
"Androsace aizoon
Duby",Primulaceae,Angiosperm,Dicot,Herb,NE,Annual,"Drass,
Minimarg","6157-SAZ,
30707-
KASH",,,
"Androsace
baltistanica Y.J.Nasir",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Drass, Sapi","6158-SAZ,
23817-
KASH",,,
"Androsace
chamaejasme
Wulfen",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial,Ladakh,"11251-
KASH",,,
"Androsace coronata
(Watt) Hand. -Mazz.",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Chang
La, Sapi,
Namkeela",__,,,
"Androsace duthieana
R.Knuth",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial,Nubra valley,__,,,
Name of taxa,Family,Plant group,"Plant
sub-
group",Habit,"IUCN
Status",Lifespan,Locality,"Voucher/
Accession
No.",,,
"Androsace
jacquemontii
Duby var. robusta
(R.Knuth) Govaerts
(=Androsace robusta
(R.Knuth) Hand.-
Mazz., Androsace
villosa Jacq. var.
robusta R.Knuth)",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Chang La,
Nubra valley,","10413-
KASH",,,
"Androsace
mucronifolia Watt",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Nubra valley,
Gumri","6160-SAZ,
26758-
KASH",,,
"Androsace
muscoidea Duby",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Nubra valley,
Matayan","6770-SAZ,
31240-
KASH",,,
"Androsace
rotundifolia Hardw.
(=Androsace
thomsonii (G.Watt)
Y.J.Nasir)",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Sapi, Drass,
Budhkharbu","6161-SAZ,
18477-
KASH",,,
"Androsace
sarmentosa Wall.
subsp. primuloides
(Duby) Govaerts
(=Androsace
primuloides Duby)",Primulaceae,Angiosperm,Dicot,Herb,NE,Perennial,"Khardung La,
Leh, Matayan","6762-SAZ,
19590-
KASH",,,
